member
川﨑桜,599,663.5,663.5,713.5,713.5,837,767.5,789.5,886,874.5,805,771.5,677.5,806,790.5,709.5,649,731.5,873,689,613,654,629.5,611.5,515,584.5,472.5,441.5,381,426,459.5,426,426,441.5,423.5,387.5,340,306.5,358,221.5,221.5,336,450.5,435,435,435,338.5,262.5,262.5,166,69.5,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,414.5,445.5,445.5,566.5,582,624.5,624.5,624.5,721,721,721,745.5,761,761,761,736.5,736.5,736.5,640,667,624.5,611.5,629.5,490.5,481.5,560,463.5,560,463.5,351.5,412,385,463.5,405.5,463.5,367,367,367,378.5,315.5,358,458.5,362,265.5,443,412,499.5,396.5,421,376,443,555,488,454.5,557.5,488,391.5,385,354,257.5,257.5,257.5,257.5,215,118.5,67,0,0,0,0,0,0,0,0,0,
松尾美佑,603.5,630.5,630.5,760.5,760.5,763,765.5,725.5,832.5,743.5,788.5,746,728,649.5,604.5,671.5,575,593,585.5,593,584,532.5,432,452.5,443.5,478,447,462.5,366,319.5,283.5,232,281,169,147,131.5,116,161,221.5,176.5,192,98,282,320.5,598.5,520,520,423.5,327,266.5,242,49,15.5,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,388,510.5,526,550.5,590.5,606,637,637,637,637,637,926.5,926.5,951,917.5,942,875,875,801.5,765.5,743.5,679,645.5,590,574.5,590,518,515.5,558,421.5,448.5,381.5,350.5,277,212.5,324.5,342.5,372,305,289.5,193,193,130,193,193,96.5,127.5,31,31,15.5,96.5,193,314,508.5,387.5,533,645,676,579.5,564,467.5,434,337.5,306.5,239.5,239.5,112,112,0,0,0,0,0,0,0,
中西アルノ,0,42.5,42.5,165,165,227,135.5,157.5,135.5,169,224.5,260.5,254,241,219,228,275.5,268,234.5,268,260.5,250,301.5,241,216.5,290,285,220.5,296.5,282.5,296.5,265.5,265.5,234.5,250,232,281,251.5,241,259,306.5,351.5,331,322,328.5,310.5,248.5,287,368,350,181.5,278,215,154.5,226.5,130,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,49,33.5,76,64.5,55.5,82.5,80,91.5,55.5,40,0,96.5,235.5,96.5,217.5,230.5,306.5,272,265.5,296.5,251.5,247.5,265.5,317,283.5,243.5,261.5,219,282,226.5,323,226.5,323,224,255,158.5,77.5,31,15.5,112,136.5,233,284.5,244.5,260,305,338.5,242,273,324.5,324.5,322,322,306.5,239.5,224,96.5,0,0,0,
吉田綾乃クリスティー,834,903.5,903.5,917.5,917.5,998.5,998.5,884,960,879,809.5,805.5,886.5,822,782,791,715,679,800,737,671.5,743.5,692,734.5,674,577.5,515.5,533.5,515.5,452.5,379,372.5,421.5,352,386.5,501,546,488,472.5,434,449.5,364.5,349,376,555,573,497,448,354,311.5,311.5,103,148,96.5,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,429,484.5,533.5,549,549,549,549,564.5,580,580,595.5,595.5,595.5,595.5,611,593,553,553,414,311,299.5,320,264.5,296.5,241,205,256.5,211.5,220.5,214,183,230.5,282,239.5,259,301.5,274.5,232,223,187,144.5,89,154.5,145.5,242,190.5,206,234.5,346.5,283.5,207.5,207.5,182,117.5,46.5,152,210,476.5,436.5,412,315.5,315.5,219,185.5,73.5,33.5,0,0,0,0,0,0,0,0,0,
冨里奈央,0,15.5,15.5,73.5,73.5,91.5,91.5,96.5,130,130,96.5,49,46.5,49,55.5,46.5,33.5,51.5,67,60.5,51.5,24.5,67,109.5,42.5,0,143,214,135.5,176.5,185.5,247.5,120,71,77.5,71,82.5,55.5,58,0,58,58,143,185.5,100.5,172.5,206,255,194.5,185.5,136.5,163.5,188,239.5,103,148,96.5,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,96.5,73.5,112,194.5,138,126.5,117.5,151,104.5,152,154.5,113.5,171.5,138,95.5,73.5,103,112,103,127.5,116,109.5,118.5,138,120,89,73.5,112,112,190.5,190.5,175,154.5,188,188,161,216.5,151,86.5,15.5,49,64.5,0,96.5,193,130,96.5,233,170,73.5,33.5,0,0,0,0,0,0,
中村麗乃,596.5,569.5,569.5,515.5,515.5,558,461.5,474.5,510.5,564.5,600.5,594,690.5,650.5,650.5,717.5,621,639,542.5,600.5,497.5,567,712.5,697,721.5,621,563,501,447,398,463.5,387.5,421,324.5,228,176.5,242,242,112,112,73.5,192,176.5,203.5,215,215,103,24.5,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,385,434,449.5,465,532,596.5,596.5,596.5,596.5,596.5,596.5,612,612,627.5,724,775.5,818,773,788.5,710,685.5,800,699.5,771.5,707,747,635,583.5,534.5,461,512.5,400.5,385,313,286,277,265.5,416,385,405.5,387.5,408,423.5,378.5,327,248.5,197,163.5,67,42.5,100.5,194.5,161,203.5,152,112,302.5,275.5,224,224,136.5,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
金川紗耶,0,67,67,78.5,78.5,78.5,96.5,172.5,127.5,100.5,100.5,129,120,104.5,113.5,116,130,145.5,145.5,112,206,149.5,135.5,136.5,154.5,143,158.5,135.5,77.5,118.5,149.5,122.5,76,96.5,96.5,139,221.5,82.5,145.5,130,130,96.5,145.5,69.5,136.5,15.5,112,112,190.5,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,76,0,166,134,64.5,140.5,113.5,116,64.5,112,127.5,100.5,143,58,78.5,91.5,154.5,139,181.5,154.5,136.5,203.5,156,140.5,152,127.5,130,148,323,181.5,260,278,208.5,260,163.5,197,152,118.5,127.5,91.5,76,163.5,103,87.5,184,136.5,136.5,0,0,0,0,0,0,0,0,0,0,0,
伊藤理々杏,276,303,303,269.5,269.5,249,184.5,160,104.5,33.5,33.5,116,140.5,109.5,76,76,143,91.5,42.5,100.5,100.5,49,0,212.5,212.5,207.5,149.5,261.5,228,221.5,212.5,212.5,76,116,131.5,161,96.5,96.5,0,0,0,136.5,152,152,152,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,279.5,344,362,377.5,402,402,442,457.5,457.5,457.5,457.5,457.5,457.5,424,455,348,345.5,305.5,304,304,292.5,214,153.5,180.5,98,82.5,49,0,15.5,15.5,58,58,42.5,143,143,116,127.5,242,172.5,203.5,270.5,270.5,189.5,252.5,243.5,304,279.5,376,324.5,327,333.5,342.5,342.5,246,203.5,179,85,42.5,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
矢久保美緒,0,0,0,24.5,24.5,91.5,55.5,89,86.5,80,31,0,0,24.5,33.5,0,0,51.5,15.5,42.5,0,0,100.5,0,0,96.5,181.5,58,0,49,51.5,0,112,112,0,67,64.5,0,96.5,96.5,0,0,0,0,0,112,127.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,49,91.5,89,95.5,96.5,139,94,91.5,98,82.5,24.5,33.5,0,0,0,0,0,0,0,42.5,76,24.5,87.5,87.5,0,0,96.5,188,82.5,24.5,42.5,15.5,96.5,152,82.5,127.5,85,96.5,157,85,94,85,42.5,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
阪口珠美,720,872,872,892.5,892.5,877,883.5,881,850,879.5,848.5,793,876.5,803,843,802,833,833,878,851,923,914,871.5,847,764.5,746.5,811,683.5,619,561,505.5,633,617.5,585.5,563.5,468,488.5,504,434.5,461.5,510.5,414,509,567,491,442,375,335,270.5,270.5,174,98,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5,135.5,166.5,197.5,228.5,244,277.5,308.5,308.5,324,339.5,355,355,386,386,368,306,306,311,376.5,367.5,376.5,354.5,370,298,282.5,352,318.5,220.5,304,301.5,272,348,381.5,390.5,455,470.5,432,447.5,660,781,684.5,664,669,662.5,616,629,613.5,532.5,539,499,514.5,626.5,577.5,644.5,617.5,629,607,618.5,578.5,578.5,457.5,457.5,354.5,272,232,183,91.5,49,0,0,0,0,0,0,0,
